Go back to description page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAZONE,INTERMEDIATE GEOGRAPHY CODE,INTERMEDIATE GEOGRAPHY NAME,MULTI-MEMBER WARD CODE,MULTI-MEMBER WARD NAME,SCOTTISH PARLIAMENTARY CONSTITUENCY CODE,SCOTTISH PARLIAMENTARY CONSTITUENCY NAME,LOCAL AUTHORITY CODE,LOCAL AUTHORITY NAME,COMMUNITY HEALTH PARTNERSHIP CODE,COMMUNITY HEALTH PARTNERSHIP NAME,HEALTH BOARD CODE,HEALTH BOARD NAME,SIX-FOLD URBAN RURAL CLASSIFICATION 2008 CODE,SIX-FOLD URBAN RURAL CLASSIFICATION 2008,"OVERALL 
SIMD
RANK 2009 V2","VIGINTILE
(SIMD 2009 V2)","DATAZONE IN THE 15% MOST DEPRIVED?
(SIMD 2009 V2)","INCOME 
DOMAIN 
RANK 2009 V2","EMPLOYMENT 
DOMAIN
RANK 2009","HEALTH
DOMAIN
RANK 2009","EDUCATION
DOMAIN
RANK 2009","HOUSING
DOMAIN
RANK 2009","GEOGRAPHIC ACCESS
DOMAIN
RANK 2009","CRIME
DOMAIN
RANK 2009",TOTAL POPULATION (SAPE 2007),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(SAPE 2007)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2009 V2)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2009 V2)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2009)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2009)","OVERALL 
SIMD
RANK 2006","VIGINTILE
(SIMD 2006)",DATAZONE IN THE 15% MOST DEPRIVED? (SIMD 2006),"CURRENT INCOME 
DOMAIN 
RANK 2006","EMPLOYMENT 
DOMAIN
RANK 2006","HEALTH
DOMAIN
RANK 2006","EDUCATION, SKILLS AND TRAINING
DOMAIN
RANK 2006","HOUSING
DOMAIN
RANK 2006","GEOGRAPHIC ACCESS TO SERVICES
DOMAIN
RANK 2006","CRIME
DOMAIN
RANK 2006",TOTAL POPULATION (SAPE 2004),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(SAPE 2004)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2006)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2006)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2006)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2006)","OVERALL 
SIMD
RANK 2004","VIGINTILE
(SIMD 2004)","DATAZONE IN THE 15% MOST DEPRIVED?
(SIMD 2004)","CURRENT INCOME 
DOMAIN 
RANK 2004","EMPLOYMENT 
DOMAIN
RANK 2004","HEALTH
DOMAIN
RANK 2004","EDUCATION, SKILLS AND TRAINING
DOMAIN
RANK 2004","HOUSING
DOMAIN
RANK 2004","GEOGRAPHIC ACCESS AND TELECOMMUNICATIONS
DOMAIN
RANK 2004",TOTAL POPULATION (CENSUS 2001),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(CENSUS 2001)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2004)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2004)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2004)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2004)"
S01000015,S02000005,Aberdeen City - Cove North,113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,5586,18,No,6247,5944,5120,4481,3330,1544,5272,676,503,15,2.0,15,3.0,5842,18,No,6480,6303,5398,3610,3330,1976,6392,656,500,5,0.8,13,2.6,5766,18,No,6182,6148.5,6304,3040,3330,2804,655,495,11,1.7,16,3.2
S01000016,S02000007,"Aberdeen City - Cults, Bieldside and Milltimber West",109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,3,Accessible Small Towns,6209,20,No,6474,6473,6297,5838,5267,1499,5990,614,418,5,1.0,5,1.0,6071,19,No,6467.5,6499,6295,6072,5267,1147,4168,598,383,5,0.8,,,5923,19,No,6361.5,6498,5693,6110,5267,819,564,354,6,1.1,,
S01000017,S02000005,Aberdeen City - Cove North,113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,4524,14,No,4754,4760,3249,3261,4641,2527,4206,871,594,60,7.0,35,6.0,4723,15,No,5180,5367,3117,3243,4641,2411,4215,918,627,42,4.6,32,5.1,5353,17,No,5172,5731,4657,3649,4641,3082,937,649,42,4.5,29,4.5
S01000018,S02000005,Aberdeen City - Cove North,113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,4471,14,No,5130,4757,3715,2675,3744,1950,4639,498,349,30,6.0,20,6.0,4799,15,No,5515.5,4834,3987,3187,3744,1921,6229,544,394,20,3.7,25,6.3,4795,15,No,5766,4837.5,4125,2547,3744,2843,577,444,16,2.8,30,6.8
S01000019,S02000007,"Aberdeen City - Cults, Bieldside and Milltimber West",109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,3,Accessible Small Towns,5962,19,No,6027,6448,5541,6332,6401,1679,2999,608,341,20,3.0,5,2.0,5951,19,No,6379,6340.5,6249,6412,6401,973,3189,577,327,8,1.4,8,2.4,6076,19,No,6421,6278,4944,6051,6401,1398,588,336,5,0.9,9,2.7
S01000020,S02000004,"Aberdeen City - Cults, Bieldside and Milltimber East",109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,3835,12,No,3320,2823,3906,5897,5052,2184,5189,966,575,120,12.0,65,11.0,3122,10,No,2523,2207,4042,5774,5052,1917,4298,953,521,138,14.5,79,15.2,3395,11,No,3039,1832,4257,6027,5052,3758,877,463,110,12.5,84,18.1
S01000021,S02000002,"Aberdeen City - Kincorth, Leggart and Nigg South",113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,4248,14,No,4736,4353,3792,2310,3788,2685,4104,859,535,60,7.0,35,7.0,3837,12,No,4545,4394,3244,1694,3788,2387,4322,918,563,60,6.5,42,7.5,4213,13,No,4091,4645,3869,2394,3788,3323,862,519,71,8.2,38,7.3
S01000022,S02000004,"Aberdeen City - Cults, Bieldside and Milltimber East",109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,6187,20,No,6451,6427,6489,6428,6475,1243,5207,757,448,10,1.0,10,2.0,6099,19,No,6472,6434.5,6482,6403,6475,1110,3771,741,426,6,0.8,8,1.9,6345,20,No,6498,6493,6098,6381,6475,1621,729,423,,,,
S01000023,S02000007,"Aberdeen City - Cults, Bieldside and Milltimber West",109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,3,Accessible Small Towns,6024,19,No,6499,6420,6361,6461,6367,745,6396,827,496,5,1.0,10,2.0,5817,18,No,6459.5,6383,6114,6443,6367,540,5418,786,492,7,0.9,11,2.2,6072,19,No,6488,6374,6343,6361,6367,771,805,494,,,11,2.2
S01000024,S02000003,Aberdeen City - Culter,109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,5,Accessible Rural,5516,17,No,6006,6327,5578,6121,5031,548,5760,493,292,15,3.0,5,2.0,5500,17,No,6000,6221,5305,6158,5031,556,6036,525,320,13,2.5,9,2.8,5252,17,No,5496,6167,4747,6151,5031,623,512,316,18,3.5,10,3.2
S01000025,S02000004,"Aberdeen City - Cults, Bieldside and Milltimber East",109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,6087,19,No,6268,6238,6362,6327,6476,1302,4817,940,630,20,2.0,15,2.0,6184,20,No,6312,6317,6369,6459,6476,1542,3815,916,591,15,1.6,15,2.5,6244,20,No,5784.5,6119,6252,6499,6476,1951,874,571,24,2.7,19,3.3
S01000026,S02000006,"Aberdeen City - Kincorth, Leggart and Nigg North",113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,1466,5,No,1913,1337,995,1670,2081,4354,671,831,497,165,20.0,90,18.0,1374,5,No,1523,1355,938,1266,2081,4554,1590,883,496,181,20.5,99,20.0,2062,7,No,1819,2434,1625,1720,2081,4624,930,494,182,19.6,74,15
S01000027,S02000004,"Aberdeen City - Cults, Bieldside and Milltimber East",109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,6084,19,No,6339,5669,6116,6347,6029,2337,3131,756,446,15,2.0,15,4.0,6072,19,No,6170,5889,5968,6343,6029,1818,4162,785,488,16,2.0,19,3.9,6311,20,No,5804,5890,6218,6129,6029,3066,815,496,22,2.7,20,4
S01000028,S02000002,"Aberdeen City - Kincorth, Leggart and Nigg South",113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,2366,8,No,2878,2545,1941,1278,2105,3662,2225,863,486,125,14.0,60,12.0,2175,7,No,2454,2401,2239,1133,2105,3748,2053,931,515,138,14.8,73,14.2,2493,8,No,2381,3025,2104,1392,2105,4960,969,514,155,16,64,12.5
S01000029,S02000004,"Aberdeen City - Cults, Bieldside and Milltimber East",109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,6052,19,No,6504,6501,6503,6490,6138,743,6492.5,963,603,0,0.0,0,0.0,6025,19,No,6505,6496,6473,6500,6138,647,5931,797,502,,,5,1.0,6166,19,No,6504,6495,6461,6490,6138,869,742,462,,,,
S01000030,S02000002,"Aberdeen City - Kincorth, Leggart and Nigg South",113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,2148,7,No,2443,2771,2736,614,1267.5,3481,2940,494,279,80,17.0,35,12.0,2449,8,No,1954,3295,2858,1192,1267.5,4072,3407,482,242,85,17.6,26,10.7,2106,7,No,1813,2742.5,1909,1660,1267.5,4182,500,242,98,19.6,33,13.6
S01000031,S02000004,"Aberdeen City - Cults, Bieldside and Milltimber East",109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,6365,20,No,6085,6107,5970,6409,6086,3061,6117,923,511,25,3.0,15,3.0,6109,19,No,5959,6052,5965,6334,6086,1832,4891,892,500,23,2.6,17,3.4,6336,20,No,5679,5853.5,5625,6347,6086,4048,866,485,26,3,20,4.1
S01000032,S02000002,"Aberdeen City - Kincorth, Leggart and Nigg South",113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,2905,9,No,3261,3031,2005,2839,2552,3316,1329,968,538,120,13.0,55,11.0,2798,9,No,3486,2351,2522,2284,2552,3798,1545,1035,569,107,10.3,82,14.4,3586,12,No,3524,3475,3486,2244,2552,4537,1089,591,115,10.6,64,10.8
S01000033,S02000006,"Aberdeen City - Kincorth, Leggart and Nigg North",113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,1369,5,No,1174,2161,864,1253,1643,4804,517,682,354,175,26.0,50,14.0,1411,5,No,1130,2330,1022,1076,1643,4481,838,734,379,176,24.0,55,14.5,1535,5,No,1088,2724,1154,944,1643,4824,796,401,206,25.9,55,13.7
S01000034,S02000004,"Aberdeen City - Cults, Bieldside and Milltimber East",109,Aberdeen City - Lower Deeside,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,6389,20,No,6487,6489,6415,6212,6343,2116,5808,1039,675,10,1.0,5,1.0,6045,19,No,6101,6215,5996,6425,6343,1272,4847,974,601,22,2.3,17,2.8,5388,17,No,5936.5,3674,6075,6449,6343,2011,1012,631,24,2.4,64,10.1
S01000035,S02000008,Aberdeen City - Garthdee,111,Aberdeen City - Airyhall/Broomhill/Garthdee,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,2831,9,No,2902,3100,3000,1603,2972,3858,1563,993,629,140,14.0,65,10.0,2729,9,No,2831,3440,3313,1125,2972,3422,1510,964,585,126,13.1,60,10.3,2836,9,No,2693,3289,3147,2072,2972,1940,1009,629,144,14.3,72,11.4
S01000036,S02000008,Aberdeen City - Garthdee,111,Aberdeen City - Airyhall/Broomhill/Garthdee,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,1839,6,No,1941,2141,1677,1490,2670,2348,2017,678,446,130,19.0,60,14.0,1871,6,No,1778,2218.5,2021,1478,2670,1869,3684,682,424,128,18.8,64,15.1,2314,8,No,2700,2999,2086,1552,2670,1267,744,429,106,14.2,54,12.6
S01000037,S02000005,Aberdeen City - Cove North,113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,1829,6,No,2787,2297,1320,959,2047,3362,597,697,430,105,15.0,55,13.0,2214,7,No,2507,2781,1740,1658,2047,3650,816,735,474,107,14.6,60,12.7,2626,9,No,2815,2780.5,1973,1938,2047,4026,800,511,109,13.6,69,13.5
S01000038,S02000006,"Aberdeen City - Kincorth, Leggart and Nigg North",113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,3331,11,No,3306,3245,2965,2544,2361,4860,2051,800,487,100,13.0,45,10.0,3138,10,No,3195,3359,2613,2407,2361,4641,1344,829,495,96,11.6,52,10.5,3543,11,No,3993,3292,3264,2187,2361,3945,861,516,74,8.6,59,11.4
S01000039,S02000008,Aberdeen City - Garthdee,111,Aberdeen City - Airyhall/Broomhill/Garthdee,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,2672,9,No,2997,3381,2315,1959,1708,1761,2098,927,604,130,14.0,55,9.0,2313,8,No,2372,3177,1642,2696,1708,1169,2755,896,547,136,15.2,61,11.2,1991,7,No,1947,3164,1530,2062,1708,1071,942,537,175,18.6,64,11.9
S01000040,S02000006,"Aberdeen City - Kincorth, Leggart and Nigg North",113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,2700,9,No,3446,2589,2317,1223,2045,5621,2053,896,520,105,12.0,60,12.0,2719,9,No,2948,3042,2388,1290,2045,5024,2299,929,535,116,12.5,62,11.6,2978,10,No,2930,3162.5,3111,1481,2045,5407,970,562,127,13.1,67,11.9
S01000041,S02000006,"Aberdeen City - Kincorth, Leggart and Nigg North",113,Aberdeen City - Kincorth/Loirston,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,3810,12,No,4288,2856,3114,3002,5624,4479,3398,753,444,65,9.0,50,11.0,3464,11,No,3830,2836,2977,2563,5624,4414,2773,790,451,71,9.0,56,12.4,4184,13,No,4026,3448.5,3467,3673,5624,4271,838,495,71,8.5,54,10.9
S01000042,S02000008,Aberdeen City - Garthdee,111,Aberdeen City - Airyhall/Broomhill/Garthdee,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,2355,8,No,2358,2263,1903,2034,3161,5891,1284,750,499,130,17.0,65,13.0,2457,8,No,2402,2392,2129,1853,3161,5162,2128,763,478,115,15.1,68,14.2,3210,10,No,3100,3311.5,2022,2521,3161,5256,790,484,97,12.3,55,11.4
S01000043,S02000008,Aberdeen City - Garthdee,111,Aberdeen City - Airyhall/Broomhill/Garthdee,3,Aberdeen South,100,Aberdeen City,S03000012,Aberdeen City Community Health Partnership,S08000006,Grampian,1,Large Urban Areas,3926,13,No,2956,5094,2846,3656,2651,5256,1226,731,479,105,14.0,25,5.0,3391,11,No,2498,3980,3335,4162,2651,4622,707,753,478,110,14.6,41,8.6,4310,14,No,3727.5,4940.5,3330,2909,2651,5132,837,526,81,9.7,34,6.5
