"2001 Scottish Parliamentary Constituency Populations - Data Zone, Output Area & Postcode Based",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CODE,SCOTTISH PARLIAMENTARY CONSTITUENCY NAME,PC POPULATION,,PCs,,OA POPULATION,,OAs,,Δ (OA POP - PC POP),,%Δ (OA POP - PC POP),,DZ POPULATION,,DZs,,Δ (DZ POP - PC POP),,%Δ (DZ POP - PC POP),
,41,Glasgow Maryhill,"62,411",,"1,400",,"62,305",,567,,-106,,-0.17,,"63,107",,75,,696,,1.12,
,42,Glasgow Pollock,"63,612",,"1,401",,"63,616",,530,,4,,0.01,,"63,774",,74,,162,,0.25,
,43,Glasgow Rutherglen,"64,937",,"1,511",,"64,940",,550,,3,,0.00,,"64,105",,83,,-832,,-1.28,
,44,Glasgow Shettleston,"57,447",,"1,525",,"57,437",,546,,-10,,-0.02,,"56,767",,71,,-680,,-1.18,
,45,Glasgow Springburn,"68,131",,"1,487",,"68,172",,627,,41,,0.06,,"68,153",,83,,22,,0.03,
,46,Gordon,"78,106",,"3,175",,"78,212",,606,,106,,0.14,,"77,212",,104,,-894,,-1.14,
,47,Greenock and Inverclyde,"62,425",,"1,572",,"62,478",,535,,53,,0.08,,"62,478",,82,,53,,0.08,
,48,Hamilton North and Bellshill,"69,369",,"1,759",,"69,459",,556,,90,,0.13,,"69,392",,89,,23,,0.03,
,49,Hamilton South,"60,103",,"1,279",,"60,005",,475,,-98,,-0.16,,"60,298",,78,,195,,0.32,
,50,"Inverness East, Nairn and Lochaber","85,067",,"2,484",,"85,125",,708,,58,,0.07,,"85,390",,118,,323,,0.38,
,51,Kilmarnock and Loudoun,"79,562",,"2,297",,"79,562",,666,,0,,0.00,,"79,562",,100,,0,,0.00,
,52,Kirkcaldy,"64,019",,"1,503",,"64,032",,563,,13,,0.02,,"64,188",,83,,169,,0.26,
,53,Linlithgow,"71,273",,"1,792",,"71,371",,583,,98,,0.14,,"71,293",,96,,20,,0.03,
,54,Livingston,"87,441",,"1,682",,"87,343",,655,,-98,,-0.11,,"87,421",,115,,-20,,-0.02,
,55,Midlothian,"63,953",,"2,102",,"64,050",,533,,97,,0.15,,"64,327",,89,,374,,0.58,
,56,Moray,"79,261",,"2,446",,"79,228",,654,,-33,,-0.04,,"79,517",,106,,256,,0.32,
,57,Motherwell and Wishaw,"67,292",,"1,401",,"67,289",,564,,-3,,-0.00,,"67,267",,88,,-25,,-0.04,
,58,North East Fife,"74,838",,"2,441",,"74,828",,625,,-10,,-0.01,,"75,116",,98,,278,,0.37,
,59,North Tayside,"77,549",,"3,094",,"77,530",,682,,-19,,-0.02,,"78,303",,102,,754,,0.97,
,60,Ochil,"74,963",,"1,942",,"74,941",,584,,-22,,-0.03,,"75,498",,95,,535,,0.71,
,61,Orkney Islands,"19,245",,612,,"19,245",,168,,0,,0.00,,"19,245",,27,,0,,0.00,
,62,Paisley North,"60,410",,"1,458",,"60,264",,543,,-146,,-0.24,,"60,202",,76,,-208,,-0.34,
,63,Paisley South,"66,948",,"1,645",,"67,008",,591,,60,,0.09,,"67,256",,80,,308,,0.46,
,64,Perth,"79,446",,"2,396",,"79,402",,686,,-44,,-0.06,,"78,802",,105,,-644,,-0.81,
,65,"Ross, Skye and Inverness West","72,011",,"2,181",,"71,966",,601,,-45,,-0.06,,"71,654",,98,,-357,,-0.50,
,66,Roxburgh and Berwickshire,"58,361",,"2,251",,"58,409",,521,,48,,0.08,,"59,020",,73,,659,,1.13,
,67,Shetland Islands,"21,988",,544,,"21,988",,180,,0,,0.00,,"21,988",,30,,0,,0.00,
,68,Stirling,"70,123",,"2,109",,"70,143",,581,,20,,0.03,,"70,022",,92,,-101,,-0.14,
,69,Strathkelvin and Bearsden,"81,377",,"2,175",,"81,163",,622,,-214,,-0.26,,"81,032",,95,,-345,,-0.42,
,70,"Tweeddale, Ettrick and Lauderdale","65,391",,"2,175",,"65,246",,542,,-145,,-0.22,,"64,358",,80,,"-1,033",,-1.58,
,71,West Aberdeenshire and Kincardine,"81,258",,"2,817",,"81,231",,621,,-27,,-0.03,,"82,237",,109,,979,,1.20,
,72,West Renfrewshire,"67,287",,"1,639",,"67,320",,525,,33,,0.05,,"67,134",,86,,-153,,-0.23,
,73,Western Isles,"26,502",,862,,"26,502",,229,,0,,0.00,,"26,502",,36,,0,,0.00,
,TOTAL,,"5,062,002",,"139,041",,"5,062,011",,"42,604",,9,,0.15,,"5,062,011",,"6,505",,9,,0.07,
